Anime ID,Title,Producers,Streaming Platform,Genre,Type,Studio,Source,A/R Ratings
19916,Car capital,"Aniplex, Shueisha",TubiHBO MaxApple TV+,Sci-FiAction,ONA,Bones,Game,PG-13
19917,Executive life,"Kodansha, Aniplex",CrunchyrollNetflix,HorrorSci-FiDrama,TV,Wit Studio,Original,PG-13
20009,Central day,TV Tokyo,Apple TV+Amazon Prime,ComedyHorrorMystery,ONA,Kyoto Animation,Webtoon,R
20216,Also career floor,"Shueisha, TV Tokyo",TubiYouTube Premium,RomanceSlice of Life,TV,Madhouse,Webtoon,PG-13
20355,Evening president reality property,"Aniplex, Kodansha",HBO MaxHuluFunimation,ComedyDramaAction,TV,Sunrise,Game,R
20521,Animal at when,Bandai Namco,HBO MaxYouTube PremiumHulu,RomanceComedy,TV,J.C.Staff,Manga,G
20922,Explain trip ball table,"Aniplex, Kodansha",TubiNetflix,AdventureDrama,ONA,Toei Animation,Game,R
21139,About collection may,"Kadokawa, Bandai Namco",YouTube PremiumNetflixFunimation,DramaSupernatural,TV,Toei Animation,Original,PG
21428,Federal resource,Aniplex,YouTube PremiumHBO MaxFunimation,AdventureComedySupernatural,Special,Ufotable,Game,G
21437,And room,"Kodansha, Kadokawa",YouTube PremiumDisney+,Horror,ONA,Sunrise,Visual Novel,PG
21439,Choose direction,Kadokawa,VRVApple TV+Netflix,Supernatural,TV,Bones,Visual Novel,R
21466,Away example,"Aniplex, Shueisha",CrunchyrollYouTube PremiumHBO Max,Slice of LifeFantasyDrama,OVA,Ufotable,Manga,PG
21677,Deep maintain arm,"Kodansha, Aniplex",FunimationNetflixApple TV+,ActionHorror,TV,Sunrise,Original,G
21732,Bar create television,Bandai Namco,NetflixAmazon PrimeApple TV+,ActionSupernatural,TV,J.C.Staff,Game,PG-13
21930,Contain suffer fly radio,"TV Tokyo, Bandai Namco",TubiVRVApple TV+,ComedyHorror,Special,A-1 Pictures,Webtoon,R
22040,Able officer consider,Aniplex,TubiApple TV+Netflix,Slice of Life,OVA,J.C.Staff,Game,PG-13
22060,Entire ready nothing,"Kodansha, TV Tokyo",VRVApple TV+Tubi,Mystery,Special,Bones,Original,R
22186,Away sister state policy,Shueisha,Disney+Funimation,Action,OVA,A-1 Pictures,Webtoon,PG-13
22281,Ask dinner Mrs,Shueisha,Amazon Prime,MysterySupernatural,OVA,MAPPA,Game,R
22365,Check step enough,Aniplex,Amazon PrimeDisney+Tubi,RomanceSupernaturalAction,OVA,Madhouse,Visual Novel,PG-13
22633,Beyond film city,"Kodansha, Kadokawa",FunimationAmazon PrimeHBO Max,SupernaturalRomance,TV,A-1 Pictures,Manga,PG
22816,Body doctor away,Shueisha,Hulu,HorrorMysterySci-Fi,TV,MAPPA,Manga,R
22870,Establish town magazine,"TV Tokyo, Bandai Namco",TubiYouTube Premium,HorrorSupernatural,TV,Toei Animation,Game,PG
22971,Agent town,Shueisha,Funimation,Romance,Special,Madhouse,Manga,G
23112,Child answer,Shueisha,Apple TV+YouTube Premium,Horror,OVA,Wit Studio,Visual Novel,R
23117,Better table,TV Tokyo,HBO MaxVRVCrunchyroll,Slice of LifeComedy,Special,Kyoto Animation,Webtoon,PG
23199,Church state,Shueisha,Apple TV+VRVYouTube Premium,Drama,TV,Madhouse,Game,PG
23399,Condition industry democratic,"Kodansha, TV Tokyo",VRVHuluYouTube Premium,Slice of LifeSupernaturalRomance,Special,MAPPA,Original,PG
23411,American serve,"Aniplex, Kodansha",NetflixHBO Max,RomanceFantasySlice of Life,Special,Bones,Manga,PG
23485,Ago news officer,Aniplex,YouTube PremiumVRV,AdventureSci-FiComedy,OVA,Kyoto Animation,Webtoon,R
23584,Feeling prove,"Aniplex, Bandai Namco",CrunchyrollNetflixApple TV+,Action,OVA,Toei Animation,Visual Novel,G
23596,Deal half you,Kodansha,TubiNetflixDisney+,Drama,TV,Wit Studio,Visual Novel,PG-13
23613,Against there,"Kadokawa, TV Tokyo",Hulu,Slice of LifeAdventureHorror,Special,MAPPA,Game,G
23969,Before member,"Kodansha, Aniplex",VRVYouTube PremiumApple TV+,HorrorMysteryFantasy,Special,Ufotable,Original,G
24270,Care theory,"Shueisha, Kodansha",HBO Max,Sci-FiAction,OVA,A-1 Pictures,Webtoon,G
24350,Always ready must,TV Tokyo,Amazon Prime,Slice of Life,TV,Kyoto Animation,Visual Novel,G
24551,Born court only,Kodansha,Disney+VRVHulu,SupernaturalActionDrama,TV,Ufotable,Original,PG
24589,Amount fish,TV Tokyo,TubiAmazon Prime,Supernatural,Special,Sunrise,Light Novel,PG-13
24651,Ability factor page,"TV Tokyo, Shueisha",Disney+TubiCrunchyroll,Mystery,ONA,Kyoto Animation,Original,G
24944,Difficult west power nation,Aniplex,Disney+Hulu,AdventureRomance,ONA,J.C.Staff,Webtoon,G
25116,Attention than,TV Tokyo,HuluHBO MaxVRV,ActionSci-Fi,ONA,Kyoto Animation,Original,R
25455,Couple plan,"Kodansha, Shueisha",HBO MaxYouTube PremiumAmazon Prime,HorrorComedy,TV,Sunrise,Game,PG-13
25528,Camera feeling professor,"TV Tokyo, Shueisha",Crunchyroll,Romance,OVA,Toei Animation,Game,G
25531,Current concern,TV Tokyo,Amazon Prime,MysteryFantasyComedy,ONA,Madhouse,Webtoon,PG
25537,Consider he,Bandai Namco,Funimation,Slice of LifeAction,OVA,Bones,Manga,PG
25667,Far collection go,"TV Tokyo, Shueisha",Netflix,MysterySci-FiHorror,TV,A-1 Pictures,Visual Novel,G
25847,Family live house,"Bandai Namco, Kadokawa",Apple TV+,DramaAction,OVA,Bones,Visual Novel,PG-13
25998,Behind large,Shueisha,HuluCrunchyrollFunimation,FantasySci-Fi,OVA,Kyoto Animation,Webtoon,G
26168,Carry environmental reflect,TV Tokyo,NetflixHulu,FantasySupernaturalRomance,ONA,Ufotable,Original,PG-13
26267,Congress bill trip,"Kodansha, Kadokawa",HBO Max,SupernaturalFantasyMystery,Special,A-1 Pictures,Game,PG-13
26371,Consider bar,"Shueisha, Kadokawa",Apple TV+,Action,Special,J.C.Staff,Game,PG-13
26398,Change on reality,"Shueisha, Kadokawa",Hulu,Sci-FiAction,TV,A-1 Pictures,Visual Novel,G
26481,Best kitchen four,"TV Tokyo, Kadokawa",Amazon Prime,Comedy,ONA,Wit Studio,Manga,PG-13
26686,Arm call,Kadokawa,Disney+,DramaMysterySupernatural,OVA,Bones,Light Novel,G
26876,Above thus serious,Bandai Namco,YouTube PremiumAmazon PrimeNetflix,Slice of LifeHorror,Special,Sunrise,Webtoon,G
27019,Certain impact,"Kadokawa, TV Tokyo",TubiApple TV+,ComedyDrama,TV,A-1 Pictures,Light Novel,PG
27279,Charge head church,TV Tokyo,YouTube Premium,DramaAdventure,ONA,J.C.Staff,Light Novel,R
27361,Car national event,TV Tokyo,VRVYouTube Premium,Comedy,TV,J.C.Staff,Webtoon,PG-13
27540,Defense anyone,"Kadokawa, Aniplex",Disney+HBO MaxVRV,Adventure,TV,Bones,Visual Novel,R
27644,Behavior Congress almost computer,Aniplex,VRVYouTube PremiumTubi,MysteryAction,ONA,Ufotable,Light Novel,G
27750,Cover class,"Shueisha, Kadokawa",VRVYouTube PremiumNetflix,Comedy,TV,MAPPA,Game,PG
27779,Arrive benefit,Kodansha,Netflix,FantasySci-Fi,OVA,A-1 Pictures,Light Novel,G
27802,Blue blue door,Bandai Namco,Disney+VRVHulu,DramaAdventureSupernatural,Special,Wit Studio,Original,PG-13
27836,Black beat debate,Aniplex,CrunchyrollTubi,Mystery,OVA,Sunrise,Visual Novel,G
28042,Contain individual true,TV Tokyo,HBO Max,DramaMystery,OVA,J.C.Staff,Webtoon,R
28120,Artist program,TV Tokyo,Amazon Prime,Supernatural,OVA,Ufotable,Original,R
28545,Against various,"Kodansha, Aniplex",Apple TV+Crunchyroll,Slice of LifeAdventure,Special,MAPPA,Manga,PG-13
28586,Already site every,"Shueisha, Kadokawa",CrunchyrollHuluDisney+,Drama,TV,A-1 Pictures,Webtoon,R
28695,Difference occur result,Bandai Namco,NetflixAmazon Prime,Sci-FiComedy,TV,A-1 Pictures,Webtoon,R
28861,American radio,"Kadokawa, Kodansha",YouTube PremiumFunimation,Mystery,TV,MAPPA,Light Novel,R
29158,Factor little project,"Aniplex, TV Tokyo",Tubi,MysteryHorror,OVA,Ufotable,Manga,PG-13
29192,Catch themselves expect,Aniplex,CrunchyrollVRV,MysterySci-Fi,ONA,Wit Studio,Game,PG
29215,Election both direction,"Kadokawa, Aniplex",YouTube Premium,ActionComedy,OVA,Toei Animation,Manga,G
29388,Cup choose,"Kodansha, Bandai Namco",NetflixApple TV+VRV,FantasyAdventureDrama,ONA,MAPPA,Light Novel,PG
29494,Approach their whether,"Aniplex, Bandai Namco",FunimationYouTube Premium,MysterySlice of Life,TV,A-1 Pictures,Visual Novel,R
29549,Area always,TV Tokyo,YouTube PremiumCrunchyroll,HorrorSci-FiAdventure,TV,MAPPA,Visual Novel,G
29811,Age often,"TV Tokyo, Shueisha",Hulu,AdventureAction,ONA,Toei Animation,Manga,PG-13
29889,And must,TV Tokyo,VRVHuluTubi,ActionComedyMystery,Special,Sunrise,Light Novel,G
30253,Among back life,"Kodansha, TV Tokyo",Amazon Prime,Drama,Special,Wit Studio,Webtoon,R
30271,Crime court eye,Shueisha,Apple TV+TubiFunimation,MysterySupernatural,OVA,MAPPA,Light Novel,G
30534,Enter yard,Bandai Namco,HuluFunimationCrunchyroll,ActionDrama,OVA,Ufotable,Light Novel,R
30572,Century church,"Kadokawa, Bandai Namco",Disney+,ActionComedyAdventure,TV,J.C.Staff,Visual Novel,PG-13
30665,Dark people lot,"Kadokawa, Bandai Namco",HBO Max,MysterySlice of LifeRomance,Special,Madhouse,Manga,PG-13
30966,At pull most,Kadokawa,Apple TV+HuluNetflix,ActionComedy,TV,Wit Studio,Webtoon,R
31066,Difficult key little,Aniplex,Funimation,ActionFantasyDrama,OVA,MAPPA,Game,PG-13
31118,Bill take yeah,"Kodansha, Shueisha",Amazon PrimeApple TV+,SupernaturalRomanceMystery,OVA,Sunrise,Visual Novel,PG
31505,Dream member animal,"Kadokawa, TV Tokyo",FunimationDisney+,Action,Special,Sunrise,Game,PG-13
31526,Early relationship marriage,"TV Tokyo, Aniplex",FunimationHBO Max,Adventure,Special,MAPPA,Original,R
31651,Affect evidence less positive,"Kodansha, TV Tokyo",Disney+TubiAmazon Prime,RomanceSupernaturalDrama,OVA,Wit Studio,Original,PG
31682,Century economy,Kodansha,CrunchyrollDisney+YouTube Premium,ActionRomanceDrama,TV,A-1 Pictures,Visual Novel,PG-13
31755,Cause capital,"Bandai Namco, Kadokawa",YouTube PremiumTubiHBO Max,Romance,Special,J.C.Staff,Visual Novel,G
31798,Across president,"Kadokawa, Shueisha",YouTube PremiumAmazon Prime,Mystery,OVA,Bones,Webtoon,PG-13
31827,Brother control,TV Tokyo,NetflixTubiVRV,Fantasy,OVA,A-1 Pictures,Webtoon,PG-13
31875,Another beyond fish,TV Tokyo,YouTube Premium,HorrorMysteryComedy,TV,Toei Animation,Light Novel,PG
32078,Couple book,TV Tokyo,FunimationVRV,RomanceAdventureSupernatural,Special,A-1 Pictures,Visual Novel,G
32118,Debate central be PM,Kodansha,VRVHulu,SupernaturalAction,TV,Toei Animation,Webtoon,PG
32182,Benefit card history,Shueisha,YouTube Premium,ComedyRomance,OVA,Wit Studio,Original,PG
32208,Decide cultural establish represent,"Aniplex, TV Tokyo",Disney+CrunchyrollYouTube Premium,SupernaturalDramaSlice of Life,TV,MAPPA,Webtoon,PG
32281,Can great poor,"Kadokawa, TV Tokyo",Disney+,Drama,TV,Madhouse,Game,G
32312,Because start,Shueisha,YouTube Premium,Comedy,TV,MAPPA,Game,G
32535,Despite night,"Kadokawa, Kodansha",Disney+Amazon PrimeApple TV+,Slice of LifeHorrorAction,TV,Toei Animation,Original,R
32784,Allow although leave,"TV Tokyo, Aniplex",Disney+,Slice of Life,Special,Kyoto Animation,Original,PG
32906,Current page consumer,"Kodansha, Aniplex",Amazon Prime,Mystery,ONA,Sunrise,Webtoon,G
33165,Any product manager,"Shueisha, Aniplex",CrunchyrollNetflixVRV,HorrorSlice of Life,OVA,Madhouse,Webtoon,PG-13
33338,Ago skin,Aniplex,Funimation,Romance,OVA,A-1 Pictures,Original,R
33668,Could material,Bandai Namco,Disney+,HorrorComedy,Special,A-1 Pictures,Light Novel,PG-13
33790,Dream good,"Aniplex, TV Tokyo",HBO MaxYouTube PremiumHulu,Adventure,ONA,Kyoto Animation,Webtoon,PG-13
33873,Attack Democrat,Bandai Namco,YouTube PremiumNetflixTubi,Mystery,ONA,Madhouse,Game,PG-13
34249,Class history,"Shueisha, TV Tokyo",Amazon PrimeTubiDisney+,Mystery,TV,A-1 Pictures,Webtoon,PG
34355,Exist image,Kodansha,Hulu,Mystery,ONA,MAPPA,Webtoon,R
34359,Enter door threat,"Aniplex, Kodansha",FunimationHBO Max,Mystery,Special,J.C.Staff,Original,PG-13
34522,Clearly scene,Bandai Namco,VRVAmazon Prime,Slice of LifeDrama,TV,Bones,Webtoon,G
34877,Away anyone,"Bandai Namco, Kodansha",Amazon PrimeYouTube PremiumNetflix,Adventure,ONA,Bones,Light Novel,R
35216,Affect rise,"Aniplex, Kadokawa",Amazon PrimeApple TV+Netflix,FantasyMystery,ONA,Wit Studio,Visual Novel,PG-13
35341,Build their feel,"TV Tokyo, Shueisha",HBO MaxDisney+,ActionMysteryComedy,TV,J.C.Staff,Webtoon,G
35368,Field age,Kodansha,Apple TV+Netflix,Horror,ONA,A-1 Pictures,Original,PG-13
35376,Beyond color various,"Kodansha, Kadokawa",Apple TV+,HorrorFantasy,Special,Ufotable,Light Novel,PG
35617,Authority outside create,Shueisha,Amazon Prime,RomanceComedyDrama,OVA,Toei Animation,Original,PG
35772,Eight pull,"Kodansha, Bandai Namco",YouTube Premium,Sci-Fi,OVA,Toei Animation,Manga,G
