Anime ID,Title,Production Budget,Streaming Cost,Merchandise revenue,Streaming revenues,Total revenues,Streaming Platform,Countries Available,Awards Won
16279,Decade hit," 5,28,81,50,800 "," 41,77,79,614 "," 58,98,63,472 "," 68,93,36,363 "," 1,07,77,06,243 ",CrunchyrollDisney+Amazon Prime,20,4
16483,Arrive plan," 1,52,57,85,200 "," 14,06,64,474 "," 31,36,00,386 "," 39,04,19,221 "," 62,88,46,493 ",VRVDisney+,15,8
16552,Although energy three," 6,81,12,49,000 "," 19,66,99,512 "," 44,02,26,667 "," 55,27,98,922 ",$953256224.441866,VRV,30,6
16569,Different reason," 1,90,76,73,600 "," 59,01,24,292 ",$337993248.895006," 97,37,05,082 "," 1,53,85,71,975 ",Crunchyroll,24,6
16667,Describe someone father," 6,16,43,96,200 "," 51,31,60,702 ",$369035765.503428," 84,67,15,158 "," 1,53,94,32,660 ",HBO MaxVRV,18,7
16730,Company table establish," 11,22,62,65,000 "," 36,56,51,314 "," 39,81,59,743 "," 60,33,24,668 "," 98,29,60,098 ",Disney+Crunchyroll,5,5
16826,Arrive wrong," 6,89,12,40,800 "," 37,60,39,424 "," 41,66,59,470 "," 62,04,65,050 "," 1,06,22,92,547 ",NetflixTubiHulu,5,7
16910,Action not," 5,12,17,13,200 "," 20,36,23,834 ",$533257740.097027," 49,41,94,602 "," 82,74,22,879 ",NetflixHBO MaxHulu,26,6
16971,Carry husband government," 2,26,35,21,200 "," 37,74,74,097 "," 50,81,06,594 "," 62,28,32,260 "," 96,77,56,623 ",Hulu,12,8
17171,Condition here blue," 19,24,23,84,400 "," 37,43,60,592 "," 68,56,10,555 ",$617694976.8," 98,55,69,732 ",Netflix,28,8
17331,Do picture free network," 12,86,26,18,800 "," 57,91,97,482 ",$216884349.517854," 95,56,75,845 "," 1,69,65,84,523 ",HuluFunimation,13,8
17885,Discover security," 3,03,16,10,000 "," 48,58,13,075 "," 63,00,40,815 "," 80,15,91,574 "," 1,31,39,41,247 ",Disney+HBO MaxYouTube Premium,10,7
18123,Between ahead," 8,58,90,30,200 "," 47,79,51,241 ",$665461158.343219," 78,86,19,548 "," 1,39,57,45,772 ",Apple TV+NetflixTubi,9,4
18621,Cell dog own," 7,93,77,38,200 "," 58,79,63,869 "," 82,18,69,651 "," 1,45,83,75,616 "," 2,18,60,07,856 ",Disney+CrunchyrollYouTube Premium,6,7
18659,Class leg decide," 15,31,30,11,000 "," 36,89,95,934 "," 66,15,97,374 "," 60,88,43,291 "," 1,06,20,58,994 ",Hulu,16,6
19005,City who morning," 51,55,21,600 "," 15,16,28,704 "," 45,16,54,433 "," 37,60,27,101 "," 55,16,00,738 ",HBO Max,16,8
19035,By positive," 7,87,09,81,400 "," 38,18,98,850 "," 30,70,83,147 "," 63,01,33,103 "," 1,13,82,39,696 ",TubiApple TV+,1,4
19067,Church scientist southern federal," 5,14,64,14,200 "," 52,54,13,637 "," 45,34,28,955 "," 86,69,32,501 "," 1,27,27,57,861 ",Apple TV+HBO Max,2,8
19127,East all," 7,87,74,90,800 "," 54,12,67,059 "," 70,73,11,835 "," 89,30,90,647 "," 1,30,05,47,201 ",HBO MaxHulu,2,8
19453,Center easy some," 4,16,91,84,800 "," 42,14,21,050 "," 45,34,54,927 ",$743341515.260107," 1,06,38,43,264 ",HuluDisney+,16,6
19567,Cause must blood," 3,70,73,58,600 "," 52,88,88,502 "," 60,78,02,948 "," 1,21,45,61,327 "," 1,86,65,28,999 ",VRVTubiHBO Max,19,4
19578,Claim environmental detail," 3,44,34,83,800 "," 36,17,63,111 "," 47,66,81,018 "," 59,69,09,133 "," 1,01,69,50,603 ",Amazon PrimeYouTube Premium,15,8
19731,Develop behavior need," 2,23,58,94,800 ",$520489383," 31,31,83,426 "," 85,88,07,482 "," 1,34,02,97,095 ",Hulu,29,4
19811,Beat ever," 5,10,60,27,000 "," 43,95,34,457 "," 26,83,54,278 "," 72,52,31,854 "," 1,26,95,30,423 ",FunimationDisney+,19,8
19838,Blue suggest," 3,20,49,86,400 "," 57,04,78,042 "," 11,09,66,298 "," 94,12,88,769 "," 1,58,73,98,805 ",HBO MaxNetflix,7,8
19846,Attack both," 3,33,49,90,400 "," 26,12,13,929 "," 26,56,08,922 "," 43,10,02,983 "," 73,99,73,129 ",TubiCrunchyrollApple TV+,30,7
19904,Discuss must," 5,63,43,53,400 "," 54,01,47,151 "," 16,21,62,496 "," 89,12,42,799 "," 1,54,40,94,503 ",Netflix,30,7
19916,Car capital," 98,65,39,800 "," 12,89,42,291 "," 35,77,69,269 "," 21,27,54,780 "," 33,32,91,110 ",TubiHBO MaxApple TV+,15,7
19917,Executive life," 7,65,47,68,600 "," 45,35,60,085 ",$414524204.861503," 74,83,74,140 "," 1,11,85,65,372 ",CrunchyrollNetflix,22,6
20009,Central day," 11,14,49,41,200 "," 40,95,77,064 "," 1,08,95,99,046 "," 84,74,89,121 "," 1,49,44,58,187 ",Apple TV+Amazon Prime,1,4
20216,Also career floor," 98,21,65,400 "," 55,25,65,059 "," 21,10,51,105 "," 91,17,32,347 "," 1,55,04,31,782 ",TubiYouTube Premium,27,7
20355,Evening president reality property," 8,91,62,18,800 "," 37,27,34,178 "," 69,83,62,567 "," 61,50,11,394 "," 96,02,05,433 ",HBO MaxHuluFunimation,4,8
20521,Animal at when," 10,28,08,64,400 "," 53,14,13,986 "," 77,97,15,731 "," 87,68,33,077 "," 1,38,17,95,809 ",HBO MaxYouTube PremiumHulu,24,5
20922,Explain trip ball table," 5,82,91,89,600 "," 28,69,92,011 "," 63,61,73,976 "," 1,56,14,14,632 "," 2,28,28,82,208 ",TubiNetflix,1,7
21139,About collection may," 11,15,90,79,600 "," 21,16,04,494 "," 58,23,70,927 "," 67,30,92,865 "," 1,05,19,79,901 ",YouTube PremiumNetflixFunimation,5,6
21428,Federal resource," 2,68,45,33,000 "," 46,49,54,677 "," 51,74,02,164 "," 1,11,73,13,097 "," 1,67,96,80,323 ",YouTube PremiumHBO MaxFunimation,16,7
21437,And room," 6,94,73,09,200 "," 44,50,93,956 "," 64,63,00,598 "," 1,06,66,41,113 "," 1,88,70,52,694 ",YouTube PremiumDisney+,27,5
21439,Choose direction," 11,48,33,44,400 "," 54,05,85,319 "," 74,05,69,758 "," 89,19,65,776 ",$1498095873.41791,VRVApple TV+Netflix,26,5
21466,Away example," 2,43,33,67,800 ",$396387779," 85,91,93,051 "," 86,34,14,935 "," 1,35,31,70,574 ",CrunchyrollYouTube PremiumHBO Max,19,5
21677,Deep maintain arm," 12,05,54,09,600 "," 31,60,79,309 "," 60,92,82,775 "," 55,84,33,802 "," 86,17,53,913 ",FunimationNetflixApple TV+,18,7
21732,Bar create television," 1,70,10,74,400 "," 42,73,95,052 "," 27,71,24,945 "," 70,52,01,836 "," 1,03,56,37,232 ",NetflixAmazon PrimeApple TV+,1,7
21930,Contain suffer fly radio," 4,00,13,13,600 "," 30,74,14,522 "," 46,81,33,833 "," 63,84,72,796 "," 95,13,53,216 ",TubiVRVApple TV+,23,5
22040,Able officer consider," 12,53,44,91,200 "," 58,94,57,622 "," 67,63,64,874 "," 1,09,19,54,071 "," 1,96,81,45,778 ",TubiApple TV+Netflix,25,8
22060,Entire ready nothing," 5,36,73,16,800 "," 26,08,88,885 "," 90,97,41,024 "," 52,51,78,850 "," 93,65,42,655 ",VRVApple TV+Tubi,4,7
22186,Away sister state policy," 14,01,38,46,000 "," 55,30,22,198 "," 20,98,62,082 "," 91,24,86,627 "," 1,30,60,38,501 ",Disney+Funimation,17,8
22281,Ask dinner Mrs," 7,64,12,27,600 "," 49,47,19,608 "," 49,67,05,884 "," 81,62,87,353 "," 1,46,25,63,836 ",Amazon Prime,21,8
22365,Check step enough," 5,60,16,02,400 "," 49,67,82,229 "," 47,99,38,100 ",$819690677.85," 1,36,30,32,096 ",Amazon PrimeDisney+Tubi,27,7
22633,Beyond film city," 6,40,45,38,600 "," 36,60,59,817 "," 23,40,78,233 "," 60,39,98,698 "," 92,71,24,233 ",FunimationAmazon PrimeHBO Max,19,8
22816,Body doctor away,$14751321800," 10,45,99,963 "," 37,72,95,414 "," 17,25,89,939 "," 29,62,80,129 ",Hulu,29,7
22870,Establish town magazine," 4,09,11,66,600 "," 39,82,10,274 "," 62,80,79,185 ",$1371094879.01169," 2,33,75,21,061 ",TubiYouTube Premium,29,4
22971,Agent town," 73,66,30,400 "," 46,54,22,911 "," 25,25,62,289 "," 76,79,47,803 "," 1,21,50,21,643 ",Funimation,28,6
23112,Child answer," 10,28,23,00,200 "," 13,05,93,946 "," 48,21,59,526 "," 89,90,59,864 "," 1,60,58,35,355 ",Apple TV+YouTube Premium,29,6
23117,Better table," 8,80,88,17,200 "," 55,41,15,274 "," 63,01,91,476 "," 91,42,90,202 "," 1,54,06,21,851 ",HBO MaxVRVCrunchyroll,15,7
23199,Church state," 18,28,98,600 "," 36,41,70,101 "," 49,08,68,376 ",$600880666.65," 1,02,89,15,727 ",Apple TV+VRVYouTube Premium,24,7
23399,Condition industry democratic," 10,33,57,33,000 "," 39,61,20,757 "," 42,33,95,187 "," 65,35,99,249 "," 93,99,94,275 ",VRVHuluYouTube Premium,17,4
23411,American serve," 98,10,83,400 "," 27,38,19,498 "," 1,19,05,50,664 "," 71,06,00,323 "," 1,13,82,98,392 ",NetflixHBO Max,10,4
23485,Ago news officer," 7,61,19,30,000 ",$566208664," 40,36,77,243 "," 93,42,44,296 "," 1,34,86,46,403 ",YouTube PremiumVRV,23,5
23584,Feeling prove," 13,27,81,24,000 "," 56,69,44,164 "," 71,89,38,341 "," 93,54,57,871 "," 1,35,16,30,765 ",CrunchyrollNetflixApple TV+,15,5
23596,Deal half you," 6,12,82,68,600 "," 15,91,75,496 "," 51,77,06,348 "," 26,26,39,568 "," 46,80,48,881 ",TubiNetflixDisney+,6,7
23613,Against there," 2,35,21,45,400 "," 53,08,74,369 "," 21,74,45,217 "," 87,59,42,709 "," 1,26,56,98,568 ",Hulu,7,5
23969,Before member," 1,93,83,37,400 "," 35,73,10,628 "," 19,95,00,820 "," 58,95,62,536 "," 1,04,49,65,147 ",VRVYouTube PremiumApple TV+,28,7
24270,Care theory," 11,26,37,96,800 "," 38,53,20,326 "," 38,63,02,820 "," 63,57,78,538 "," 97,20,35,602 ",HBO Max,4,7
24350,Always ready must," 22,87,83,65,000 "," 14,22,82,412 "," 36,97,87,834 "," 23,47,65,980 "," 34,87,84,911 ",Amazon Prime,29,6
24551,Born court only," 9,22,75,63,000 ",$354091262," 47,92,04,388 "," 86,66,45,660 "," 1,32,63,82,128 ",Disney+VRVHulu,11,4
24589,Amount fish,$22712073800," 39,18,42,388 "," 63,55,87,179 "," 1,13,19,79,383 "," 1,97,20,85,652 ",TubiAmazon Prime,24,4
24651,Ability factor page," 6,40,08,50,400 "," 57,73,97,693 "," 30,12,68,470 "," 95,27,06,193 "," 1,51,62,39,979 ",Disney+TubiCrunchyroll,13,6
24944,Difficult west power nation," 17,30,16,42,000 "," 38,31,82,526 "," 39,52,92,748 "," 63,22,51,168 "," 1,03,04,25,949 ",Disney+Hulu,5,6
25116,Attention than," 3,12,71,98,000 "," 35,13,14,858 "," 65,59,73,445 ",$579669515.7," 96,21,22,541 ",HuluHBO MaxVRV,13,7
25455,Couple plan," 3,42,54,53,400 "," 54,40,83,637 "," 41,43,43,006 "," 89,77,38,001 "," 1,45,45,25,910 ",HBO MaxYouTube PremiumAmazon Prime,22,4
25528,Camera feeling professor," 12,53,61,38,400 "," 56,59,52,785 "," 52,54,78,855 "," 93,38,22,095 "," 1,37,03,70,941 ",Crunchyroll,16,5
25531,Current concern," 2,32,93,75,600 ",$466682058," 37,34,38,106 "," 77,00,25,396 "," 1,28,94,83,594 ",Amazon Prime,20,7
25537,Consider he,$5859796200," 52,58,66,212 "," 74,59,20,290 "," 1,39,47,87,341 "," 2,20,35,39,109 ",Funimation,9,7
25667,Far collection go," 4,54,00,93,000 "," 40,00,35,288 ",#REF!," 66,00,58,225 "," 1,18,79,46,613 ",Netflix,10,6
25847,Family live house," 2,90,73,96,600 "," 25,58,89,846 "," 40,94,61,581 "," 49,85,09,704 ",$801065326.606545,Apple TV+,26,6
25998,Behind large," 2,21,31,96,600 "," 37,59,37,799 "," 78,15,20,787 "," 1,07,35,99,409 "," 1,54,88,92,378 ",HuluCrunchyrollFunimation,29,6
