Anime ID,Title,Members,Favorites,Airing_Start,Airing_End,Episodes,Duration,Broadcast_Day,Watch Hours,Countries Available,Awards Won,Dub Availability,User_Reviews,Score
2368,Argue south," 8,26,569 ",12676,23-02-1953,07-10-2019,46,54.59700512,Thursday," 3,63,13,341 ",4,7,Partial,8722,4.560
2547,Avoid seek," 8,16,134 ",18578,19-04-1955,Still Airing,59,319.2680311,Saturday," 3,87,37,568 ",8,4,Partial,9133,2.350
2618,Artist focus big spring," 6,85,893 ",35368,09-06-2140,Still Airing,34,87.33368982,Sunday," 12,06,00,509 ",26,4,Yes,6691,9.550
3171,At spend well," 11,62,848 ",4265,11-05-1921,10-09-2022,76,22.76097003,Friday," 5,71,02,202 ",1,4,Partial,7447,1.960
3239,City report," 8,57,880 ",29974,19-05-2021,15-02-2023,91,50,Monday," 9,03,82,909 ",12,6,No,11880,7.830
3355,Ever as group," 9,60,521 ",29082,07-06-2016,14-11-2017,75,37,Monday," 5,75,05,070 ",7,8,No,6841,9.680
3467,Appear trade peace," 7,86,277 ",16051,18-04-1997,11-04-2018,63,172.4627411,Tuesday," 10,86,31,154 ",18,6,Yes,8648,4.900
3702,Above focus pretty," 5,88,458 ",34446,12-05-1979,17-10-2022,2,66.38798703,Sunday," 8,43,45,976 ",15,4,Partial,5741,6.591
3833,End almost," 6,78,699 ",41416,27-09-2023,Still Airing,74,53,Friday," 6,81,43,669 ",9,8,Yes,14077,9.460
3876,Ago including," 7,16,399 ",47149,04-12-1949,19-08-2018,69,113.2924643,Tuesday," 7,53,80,200 ",16,7,No,11710,2.690
3915,Discover child play," 7,47,532 ",26369,11-09-2016,20-05-2018,88,43,Sunday," 11,40,89,927 ",28,6,Yes,12929,7.560
4037,Benefit law,9.75E+05,48704,30-06-2019,31-01-2021,83,50,Sunday," 4,30,32,891 ",6,4,No,9158,9.090
4554,Another leave," 8,74,665 ",42204,05-01-2002,15-09-2017,44,37.27238362,Monday," 7,11,37,289 ",12,8,Yes,7007,4.990
4601,Employee join natural,791657.00,36959,07-01-2019,22-07-2019,28,45,Monday," 14,80,01,306 ",29,7,Partial,12348,8.230
4753,Common later," 6,92,950 ",48679,29-06-2016,28-12-2016,26,55,Tuesday," 9,87,82,590 ",20,6,Partial,6374,8.780
5064,Actually reach fall," 8,24,528 ",4425,19-05-1973,02-04-2020,52,21.63067094,Friday," 4,62,30,740 ",7,5,No,14724,2.070
5232,After happy including," 8,40,763 ",26886,09-10-1994,16-02-2022,92,33.66210905,Saturday," 3,19,20,886 ",4,8,No,11263,2.450
5295,Down food," 7,14,182 ",22679,31-07-2022,26-03-2023,34,45,Sunday," 7,81,04,724 ",18,4,Yes,6721,9.650
5553,Child up mouth," 7,63,951 ",41396,27-08-2019,31-12-2019,18,33,Friday," 9,72,57,752 ",20,7,Yes,13979,9.950
5627,Above change," 7,45,898 ",22211,12-01-1973,30-10-2016,8,49.89756678,Tuesday," 8,86,70,292 ",15,7,Yes,10388,4.650
5634,Door pattern anyone short," 8,34,349 ",30835,18-06-2015,12-05-2016,47,56,Thursday," 12,19,92,212 ",30,8,Partial,6950,9.180
5651,Conference true he," 8,83,001 ",2991,22-01-2017,25-11-2018,96,58,Saturday," 2,03,37,314 ",8,5,No,13915,9.580
5690,Book,8.96E+05,47112,13-01-2024,Still Airing,59,33,Thursday," 13,31,52,987 ",22,6,No,13706,9.230
5735,Allow," 8,23,158 ",25999,17-09-1984,11-06-2021,62,31.64475943,Monday," 8,77,80,813 ",20,6,Partial,9181,9.857
5771,Analysis hospital," 5,91,680 ",14787,29-07-1993,Still Airing,101,118.5733296,Thursday," 13,34,31,064 ",10,5,No,5222,3.060
5853,Available discussion," 8,84,934 ",36317,05-03-2079,22-01-2019,43,17.54426422,Saturday," 14,89,89,054 ",24,7,Partial,7820,7.193
5966,Example operation there," 9,37,248 ",49251,17-04-2015,07-10-2016,77,56,Wednesday," 2,46,24,589 ",4,4,No,7263,9.960
6163,Edge himself," 7,72,024 ",35921,17-07-2016,04-06-2017,46,31,Thursday," 12,76,10,637 ",21,7,No,5091,9.530
6186,Budget sit production hard," 6,75,136 ",37090,01-06-2017,21-06-2018,55,30,Friday," 4,72,75,633 ",7,7,Partial,13120,8.750
6494,Fall avoid law," 8,90,863 ",4977,05-01-2023,22-08-2024,85,47,Thursday," 14,55,09,392 ",27,8,Partial,5000,9.910
6712,Conference human," 6,16,856 ",47227,29-03-2023,31-07-2024,70,32,Thursday," 7,53,01,971 ",12,8,Partial,10389,8.740
6872,Decision trip," 6,80,716 ",10875,22-03-2023,26-04-2023,5,32,Saturday," 4,22,98,356 ",11,7,Partial,13482,8.330
7109,Any," 8,30,646 ",11895,24-12-2035,Still Airing,33,49.16851621,Wednesday," 14,49,38,320 ",29,5,Yes,10365,4.240
7228,Also though," 6,30,833 ",39918,14-10-2071,27-07-2020,91,92.89741567,Friday," 66,91,845 ",10,8,Yes,11787,8.572
7607,Address company," 6,15,617 ",4805,20-02-1998,Still Airing,253,38.29786117,Sunday," 5,62,00,970 ",4,8,No,5695,6.451
7847,Establish should," 8,64,571 ",17701,27-06-2015,09-07-2016,54,50,Saturday," 3,17,90,710 ",22,5,Yes,10808,7.370
8232,Build fast dream attention," 9,05,376 ",40228,11-04-2019,Still Airing,307,52,Saturday," 7,37,78,259 ",18,5,Yes,13913,8.980
8403,Among set face," 8,73,930 ",46182,14-02-2011,10-05-2016,51,56.63164804,Wednesday," 11,98,95,412 ",24,6,No,12512,8.133
8487,Congress guess,635102,22161,23-01-2024,Still Airing,57,48,Thursday," 4,07,23,036 ",8,7,Partial,12851,9.440
8964,Direction Congress effect," 8,73,644 ",6709,16-07-2017,07-01-2018,25,31,Monday," 5,59,54,029 ",9,8,No,12636,9.410
9042,Carry live too," 7,25,254 ",24612,17-09-2017,12-08-2018,47,57,Thursday," 7,56,83,222 ",14,8,Yes,10024,8.800
9116,Across book check," 9,87,841 ",47141,10-02-2038,24-06-2022,12,376.2255717,Wednesday," 14,46,75,838 ",28,7,Yes,7409,9.421
9634,Both week production,7.24E+05,41102,05-03-2021,01-07-2022,69,47,Tuesday," 10,39,08,442 ",15,6,No,14059,7.880
9724,Economic somebody," 8,33,814 ",32409,26-10-2020,11-07-2022,89,41,Thursday," 14,92,17,634 ",29,8,Yes,8362,8.350
9882,Describe develop," 7,33,901 ",45079,24-08-2018,26-04-2019,35,52,Monday," 1,00,35,745 ",9,7,Yes,13479,9.890
9926,Cup own describe," 7,04,116 ",38162,22-11-2015,Still Airing,484,47,Thursday," 10,40,23,621 ",16,7,Partial,12041,9.640
10128,Computer pretty bad," 8,07,606 ",19527,23-04-2023,01-09-2024,71,30,Saturday," 9,05,02,595 ",18,8,Partial,11729,9.620
10153,Check society American," 6,06,831 ",33902,18-02-2023,10-06-2023,16,53,Friday," 6,56,47,789 ",5,7,Yes,11594,7.230
10279,Blood,793129,14294,24-08-2022,03-05-2023,36,40,Friday," 12,87,19,125 ",19,8,No,10125,8.940
10386,Almost from," 9,17,338 ",26106,22-01-2165,Still Airing,4,113.173748,Sunday," 13,89,15,070 ",24,4,Partial,11293,5.410
10507,Center reason story," 7,55,717 ",40358,12-02-2023,28-07-2024,76,34,Thursday," 1,58,86,467 ",1,8,Yes,14420,8.930
10578,Choose dog coach my," 7,45,398 ",6992,31-08-2016,Still Airing,443,32,Tuesday," 13,65,85,763 ",27,5,Yes,11193,8.700
10596,Account history with from,7.18E+05,32290,12-03-1923,17-12-2021,53,47.79972152,Sunday," 8,46,51,898 ",20,7,No,7309,2.330
10662,Choice decade adult," 9,77,399 ",41070,16-02-2018,30-08-2019,80,52,Friday," 10,09,30,006 ",12,7,Yes,5657,9.090
10953,Black Democrat," 7,55,908 ",42030,08-06-2020,27-12-2021,81,46,Saturday," 3,81,09,402 ",6,5,Yes,5100,9.870
11393,Beautiful your," 7,59,625 ",22684,01-02-2017,12-12-2018,97,51,Tuesday," 14,87,07,716 ",21,4,Partial,6374,9.060
11574,Almost attack," 7,10,695 ",46624,29-01-2020,31-10-2016,71,35.95640071,Saturday," 4,92,22,780 ",7,4,Yes,7967,4.662
12025,Anything particularly once,759396.688900042,43771,05-05-2105,23-12-2017,47,89.94747559,Tuesday," 9,66,24,887 ",15,7,Partial,13698,9.305
12123,Consider when board," 7,11,558 ",32442,24-07-2019,Still Airing,292,49,Thursday," 7,28,32,059 ",14,6,Partial,9508,8.060
12502,Factor become alone," 6,33,237 ",31416,25-06-2024,Still Airing,35,52,Thursday," 9,58,43,302 ",15,8,No,9246,8.980
12541,Also day worry," 8,03,189 ",26944,10-07-2146,12-12-2017,19,58.88671345,Sunday," 4,70,26,685 ",2,8,Yes,13177,3.930
13027,Concern small she," 7,24,480 ",36228,11-03-2020,25-11-2020,37,32,Friday," 9,39,96,157 ",13,6,No,9537,8.970
13047,Eight have," 6,22,964 ",30838,11-05-2015,16-05-2016,53,44,Sunday," 65,71,505 ",6,6,No,13738,9.370
13128,Cultural a," 7,67,882 ",2076,18-09-2017,Still Airing,388,56,Friday," 7,45,18,939 ",16,6,Partial,11159,9.180
13203,Along important," 5,82,906 ",43450,22-05-1970,11-02-2020,99,66.16289178,Monday," 14,27,96,194 ",26,6,Partial,14341,8.247
13371,Can culture," 8,42,611 ",7676,08-12-2021,11-01-2023,57,52,Thursday," 11,99,42,035 ",20,6,Partial,8121,8.940
13373,Control officer detail," 8,47,159 ",43106,16-05-2018,19-06-2019,57,51,Thursday," 89,25,698 ",3,7,No,6206,8.410
13407,Administration personal teach light," 9,26,591 ",20556,23-11-2024,16-04-2021,18,51.84918064,Friday," 10,05,30,321 ",17,6,No,14921,5.772
13521,Congress notice," 9,97,853 ",36042,20-05-2024,04-11-2024,24,32,Sunday," 2,18,37,172 ",4,7,No,4980,8.010
13720,Admit every dream," 6,25,826 ",33708,05-11-2067,Still Airing,56,59.66870159,Sunday," 54,90,572 ",28,8,Yes,5213,9.344
13740,Environmental still agreement," 9,08,615 ",34014,11-10-2019,Still Airing,281,30,Friday," 9,30,48,014 ",16,4,Yes,5871,9.240
14434,Benefit shake different," 6,37,560 ",48794,12-09-2015,20-05-2017,88,31,Thursday," 5,91,91,179 ",2,8,No,5495,9.550
14535,College something happen between,9.09E+05,35470,24-04-2023,13-11-2023,29,39,Wednesday," 54,91,237 ",8,5,Partial,10937,9.890
14658,Already make assume,796163.39,18843,24-11-2069,09-05-2018,94,57.01085978,Thursday," 7,76,00,399 ",24,7,No,8563,7.520
15066,Collection message boy," 9,46,409 ",35076,03-10-2021,26-02-2023,73,58,Wednesday," 4,52,71,907 ",10,6,Partial,13083,9.060
15335,Determine expect big," 7,01,504 ",29000,23-11-2023,17-10-2024,47,50,Wednesday," 14,07,18,077 ",29,7,Partial,6950,9.860
15459,Education talk money life," 6,90,948 ",28920,01-06-2020,22-06-2020,3,47,Wednesday," 9,29,16,949 ",11,6,Partial,9804,9.690
15640,Case structure," 7,52,962 ",24875,25-10-2018,03-09-2020,97,41,Friday," 11,06,97,893 ",26,8,No,12010,9.260
15739,Father yes tell," 9,12,297 ",18150,28-03-2015,16-04-2016,55,40,Tuesday," 8,00,78,307 ",18,8,Yes,9598,9.260
15856,Do hope," 9,87,296 ",37992,15-09-2019,27-12-2020,67,30,Sunday," 12,66,14,236 ",23,8,Partial,12853,9.340
15878,Coach bill with,921412.00,8935,25-02-2015,Still Airing,522,55,Thursday," 11,63,13,873 ",16,7,No,14497,9.960
15893,Easy fund decide find,956535.00,28452,24-04-2024,Still Airing,44,49,Wednesday," 10,30,13,779 ",17,8,Yes,8423,9.140
16279,Decade hit," 6,20,252 ",27140,26-02-2017,08-10-2017,32,49,Tuesday," 8,30,18,787 ",20,4,No,9864,9.190
16483,Arrive plan," 5,66,738 ",22158,14-11-2009,12-11-2019,8,110.3544286,Thursday," 8,14,95,048 ",15,8,No,10016,7.700
16552,Although energy three," 7,40,799 ",39821,24-08-1963,04-09-2016,77,84.11569496,Sunday," 13,95,51,615 ",30,6,Yes,5612,2.210
16569,Different reason," 9,91,247 ",17630,17-07-2020,Still Airing,241,51,Sunday," 14,00,53,120 ",24,6,Yes,9038,9.880
16667,Describe someone father," 6,16,589 ",26291,12-04-2019,10-07-2020,65,38,Friday," 7,97,18,782 ",18,7,No,11930,9.090
16730,Company table establish,798614,24046,23-04-2015,Still Airing,514,30,Sunday," 13,01,93,342 ",5,5,Yes,10340,8.980
16826,Arrive wrong," 9,60,094 ",16203,15-03-1987,07-04-2022,85,249.4479357,Wednesday," 3,94,98,581 ",5,7,No,13135,6.511
16910,Action not,729023.30,25911,28-07-1950,20-09-2016,72,106.4437691,Thursday," 11,88,30,733 ",26,6,Yes,12729,3.135
16971,Carry husband government," 9,88,036 ",14631,10-02-2020,21-12-2020,45,36,Thursday," 9,78,63,279 ",12,8,Yes,9613,9.340
17171,Condition here blue," 9,54,130 ",33984,29-05-2024,Still Airing,39,42,Sunday," 13,73,47,414 ",28,8,Yes,12376,9.330
17331,Do picture free network," 8,95,570 ",1062,02-11-2020,27-06-2022,86,57,Tuesday," 8,35,34,895 ",13,8,Yes,8132,9.840
17885,Discover security," 7,89,318 ",46391,06-03-2018,13-11-2018,36,60,Thursday," 1,25,92,479 ",10,7,Yes,13229,9.450
18123,Between ahead," 7,00,062 ",40716,27-12-2017,08-08-2018,32,43,Friday," 1,95,79,813 ",9,4,Yes,10153,9.040
18621,Cell dog own," 6,49,850 ",48044,15-06-2016,17-05-2017,48,55,Saturday," 4,81,72,609 ",6,7,Yes,8648,8.840
18659,Class leg decide," 6,99,795 ",33477,22-04-2022,Still Airing,149,49,Saturday," 7,63,14,779 ",16,6,Partial,10036,9.720
19005,City who morning," 7,58,824 ",28341,16-08-2015,Still Airing,498,41,Saturday," 10,48,35,749 ",16,8,Partial,7603,8.110
19035,By positive,751120.00,20565,17-02-2022,Still Airing,158,31,Saturday," 1,79,86,664 ",1,4,No,8557,9.660
19067,Church scientist southern federal," 7,41,543 ",26671,05-01-2018,02-11-2018,43,45,Thursday," 2,88,09,178 ",2,8,Yes,7788,9.150
19127,East all," 6,69,485 ",37189,10-09-2019,16-06-2020,40,57,Wednesday," 12,38,13,411 ",2,8,Yes,14096,8.640
19453,Center easy some," 6,84,265 ",38445,07-04-2020,Still Airing,255,47,Saturday," 7,65,95,627 ",16,6,Partial,10617,8.470
19567,Cause must blood," 8,12,677 ",45923,28-08-2015,10-06-2016,41,45,Monday," 10,10,59,415 ",19,4,Yes,12180,9.410
19578,Claim environmental detail," 7,47,487 ",21324,09-07-2017,07-10-2018,65,55,Tuesday," 9,14,20,962 ",15,8,Partial,6580,9.710
19731,Develop behavior need," 8,00,249 ",17667,04-05-2016,31-08-2016,17,51,Tuesday," 11,58,16,746 ",29,4,Partial,10606,8.470
19811,Beat ever," 7,69,607 ",4518,25-06-2017,16-12-2018,77,56,Tuesday," 13,31,51,406 ",19,8,Yes,7389,9.980
19838,Blue suggest," 8,69,372 ",292,23-09-2019,03-08-2020,45,46,Thursday," 2,89,98,487 ",7,8,No,10402,9.500
19846,Attack both," 7,67,487 ",3633,21-09-1932,Still Airing,522,30.89249076,Tuesday," 12,96,33,734 ",30,7,No,12207,5.731
19904,Discuss must," 6,22,776 ",919,03-05-2019,06-12-2019,31,35,Friday," 12,60,77,344 ",30,7,Partial,7965,9.200
19916,Car capital," 9,22,554 ",7232,27-06-2018,24-10-2018,17,49,Thursday," 9,59,07,847 ",15,7,Yes,6457,8.220
19917,Executive life," 6,41,021 ",8217,12-04-2015,Still Airing,516,30,Thursday," 12,58,32,839 ",22,6,No,9662,9.580
20009,Central day,836169,49833,21-01-2024,Still Airing,58,42,Friday," 3,33,55,094 ",1,4,No,13517,9.260
20216,Also career floor,7.57E+05,6013,11-05-2189,11-09-2017,14,98.84574895,Saturday," 7,36,70,070 ",27,7,Yes,12718,6.285
20355,Evening president reality property," 7,26,957 ",48198,18-03-2016,23-12-2016,40,42,Sunday," 4,95,69,666 ",4,8,Yes,10728,9.940
20521,Animal at when," 7,64,837 ",49462,25-10-2107,01-10-2022,53,33.24167706,Sunday," 11,56,24,286 ",24,5,No,10569,4.130
20922,Explain trip ball table," 7,29,223 ",41864,25-07-2021,29-01-2023,79,33,Thursday," 3,93,26,975 ",1,7,Yes,10782,7.340
21139,About collection may," 8,68,878 ",28984,28-10-1935,18-01-2017,66,181.4656814,Wednesday," 5,53,11,674 ",5,6,Yes,11604,3.980
21428,Federal resource," 8,60,940 ",35093,02-09-2016,03-03-2017,26,46,Monday," 11,36,99,289 ",16,7,No,7339,9.350
21437,And room," 7,34,933 ",44282,02-03-2091,12-02-2020,69,59.93495407,Thursday," 8,21,37,058 ",27,5,Yes,11980,2.000
21439,Choose direction," 9,96,076 ",44435,23-01-2022,Still Airing,162,41,Tuesday," 13,60,75,765 ",26,5,No,7633,8.590
21466,Away example," 6,25,643 ",47886,25-10-1975,30-04-2023,17,163.2450147,Sunday," 9,04,09,254 ",19,5,Yes,10860,6.657
21677,Deep maintain arm," 7,66,620 ",36678,03-06-2016,09-03-2018,92,59,Tuesday," 8,26,13,479 ",18,7,Partial,13140,8.040
21732,Bar create television," 6,27,244 ",11919,28-08-2017,05-02-2018,23,33,Wednesday," 4,63,31,406 ",1,7,Partial,10397,8.500
21930,Contain suffer fly radio," 7,66,209 ",22889,09-12-2021,21-07-2022,32,52,Thursday," 13,36,11,855 ",23,5,No,12473,8.450
22040,Able officer consider," 8,60,642 ",45104,01-10-2082,03-07-2017,59,81.80966697,Friday," 13,39,95,964 ",25,8,Partial,12199,5.496
22060,Entire ready nothing," 6,12,425 ",49279,29-08-2016,Still Airing,443,39,Sunday," 13,04,48,967 ",4,7,Partial,13964,7.960
22186,Away sister state policy," 5,91,943 ",6080,08-07-2037,Still Airing,37,28.07487262,Monday," 10,37,95,000 ",17,8,No,10986,3.787
22281,Ask dinner Mrs," 10,73,362 ",13809,08-03-1961,Still Airing,18,55.56325237,Saturday," 12,66,60,193 ",21,8,Partial,8783,5.820
22365,Check step enough," 7,58,837 ",10858,16-08-2018,28-02-2019,28,42,Tuesday," 14,92,81,548 ",27,7,Partial,7908,9.530
22633,Beyond film city," 6,96,512 ",4580,02-03-2018,Still Airing,365,46,Thursday," 8,69,81,552 ",19,8,No,12324,9.810
22816,Body doctor away," 6,37,593 ",7040,07-11-2023,Still Airing,68,41,Saturday," 12,09,11,206 ",29,7,Yes,7396,8.320
22870,Establish town magazine," 9,09,718 ",39867,06-03-2024,Still Airing,51,38,Saturday," 1,67,94,495 ",29,4,No,6323,9.720
22971,Agent town," 8,74,089 ",4758,03-09-2176,Still Airing,351,36.14218466,Monday," 13,97,78,790 ",28,6,Yes,12047,6.111
23112,Child answer," 8,44,644 ",47468,19-11-2021,23-09-2022,44,44,Wednesday," 13,97,77,882 ",29,6,No,6074,7.400
23117,Better table," 8,70,447 ",33397,03-08-2020,Still Airing,238,30,Thursday," 8,91,38,522 ",15,7,Partial,9460,9.480
23199,Church state,992872.00,43500,19-03-2022,26-03-2022,1,45,Saturday," 11,18,70,702 ",24,7,Partial,12217,9.650
23399,Condition industry democratic," 7,61,020 ",24362,30-03-2019,11-07-2020,67,38,Saturday," 8,06,10,257 ",17,4,Partial,7472,9.600
23411,American serve," 10,24,644 ",49860,07-08-2015,08-09-2023,5,109.0369907,Tuesday," 14,77,56,976 ",10,4,Partial,13083,7.322
23485,Ago news officer," 7,41,931 ",39723,29-01-1960,31-10-2019,34,645.2077078,Thursday," 13,02,91,373 ",23,5,Partial,13833,7.438
23584,Feeling prove," 6,10,040 ",46925,08-05-2024,Still Airing,42,52,Wednesday," 10,81,81,857 ",15,5,No,13713,8.990
23596,Deal half you," 9,59,624 ",25592,03-03-2017,07-12-2018,92,36,Friday," 2,79,62,009 ",6,7,Partial,9865,8.220
23613,Against there," 6,71,319 ",4737,09-12-1966,06-08-2017,66,31.30229699,Wednesday," 8,21,59,719 ",7,5,No,8323,9.081
23969,Before member," 9,44,590 ",1385,15-10-2019,Still Airing,280,56,Thursday," 12,50,34,626 ",28,7,Yes,6430,8.940
24270,Care theory," 7,73,483 ",15701,18-09-2021,Still Airing,180,34,Monday," 4,18,13,584 ",4,7,Yes,5343,9.060
24350,Always ready must," 8,40,825 ",8746,27-06-1977,Still Airing,38,78.31126032,Thursday," 11,26,79,424 ",29,6,Partial,9087,7.086
24551,Born court only," 6,08,594 ",32504,13-12-2016,Still Airing,428,44,Thursday," 9,19,49,168 ",11,4,No,6203,9.190
24589,Amount fish," 5,89,258 ",45136,29-09-2080,Still Airing,96,11.88876709,Sunday," 12,31,72,544 ",24,4,Yes,8193,6.455
24651,Ability factor page," 5,01,142 ",13790,20-11-1963,17-06-2021,66,32.68152067,Wednesday," 7,18,51,376 ",13,6,Yes,9116,2.880
24944,Difficult west power nation," 9,84,046 ",36370,24-02-2023,06-12-2024,93,30,Thursday," 1,45,02,856 ",5,6,Yes,8568,9.610
25116,Attention than," 10,68,986 ",41175,03-05-2096,04-04-2022,57,35.80990279,Wednesday," 7,51,64,306 ",13,7,No,7259,3.427
25455,Couple plan," 9,22,647 ",16690,25-04-2021,06-03-2022,45,51,Thursday," 14,51,87,745 ",22,4,Yes,11274,9.660
25528,Camera feeling professor," 6,69,642 ",45315,04-08-2021,31-05-2023,95,34,Sunday," 7,60,45,077 ",16,5,Partial,13114,9.500
25531,Current concern," 6,05,036 ",20561,21-03-2023,07-11-2023,33,55,Sunday," 7,82,39,293 ",20,7,Partial,7889,8.520
25537,Consider he," 6,03,021 ",42053,03-08-2023,Still Airing,82,51,Friday," 4,74,48,011 ",9,7,Yes,8771,9.290
25667,Far collection go," 8,63,507 ",49654,05-08-2018,04-08-2019,52,40,Monday," 2,42,21,294 ",10,6,Partial,6094,9.600
25847,Family live house," 6,71,868 ",35922,05-11-2022,07-10-2023,48,39,Sunday," 14,08,49,850 ",26,6,No,7408,7.400
25998,Behind large," 6,28,679 ",49568,26-04-2021,19-07-2021,12,40,Sunday," 14,74,17,092 ",29,6,Partial,8880,9.760
26168,Carry environmental reflect," 7,19,131 ",34891,28-04-2019,22-03-2020,47,59,Monday," 1,68,82,940 ",11,8,Yes,12724,9.800
26267,Congress bill trip,845378,30612,09-03-2019,28-03-2020,55,59,Tuesday," 12,52,46,266 ",21,8,No,12324,8.010
26371,Consider bar," 8,42,500 ",24022,29-12-2018,05-10-2019,40,47,Sunday," 8,42,70,341 ",16,7,Partial,9071,9.440
26398,Change on reality," 7,94,993 ",41266,27-12-2021,19-12-2022,51,34,Monday," 6,70,74,267 ",5,4,Partial,13482,8.940
26481,Best kitchen four," 9,07,051 ",2692,14-03-2020,11-04-2020,4,58,Wednesday," 13,65,44,756 ",24,4,No,7495,8.900
26686,Arm call," 6,59,316 ",26431,06-05-2037,19-11-2024,68,48.5428306,Thursday," 12,10,60,965 ",27,8,No,4875,8.731
26876,Above thus serious," 7,91,605 ",47811,28-08-2059,22-12-2020,87,9.346949911,Friday," 12,89,79,483 ",26,8,Partial,10007,5.890
27019,Certain impact," 6,62,264 ",7951,12-04-2024,Still Airing,46,43,Wednesday," 12,65,37,017 ",25,7,Yes,13891,9.960
27279,Charge head church," 6,59,486 ",47204,07-03-2024,17-10-2024,32,52,Wednesday," 5,20,28,801 ",4,7,No,12865,9.580
27361,Car national event," 9,49,886 ",29967,30-07-2020,20-08-2020,3,59,Friday," 11,21,92,492 ",3,8,No,10413,9.440
27540,Defense anyone," 6,08,409 ",47822,30-07-2020,02-09-2021,57,41,Sunday," 11,56,52,347 ",22,6,Yes,13049,9.970
27644,Behavior Congress almost computer," 8,03,197 ",40045,15-12-2019,31-01-2021,59,48,Wednesday," 8,60,49,140 ",30,6,No,11786,8.580
27750,Cover class," 6,38,740 ",43432,18-11-2023,Still Airing,67,53,Monday," 88,23,758 ",2,7,No,7759,8.800
27779,Arrive benefit,8.28E+05,41238,29-08-1941,25-08-2021,97,56.9560694,Friday," 13,49,94,570 ",22,7,Partial,5709,4.260
27802,Blue blue door," 8,50,526 ",367,06-03-2015,Still Airing,521,41,Monday," 3,83,42,133 ",5,7,Partial,5806,9.980
27836,Black beat debate," 9,32,825 ",43157,24-02-2021,30-06-2021,18,46,Wednesday," 2,96,74,984 ",8,7,Yes,5785,9.760
28042,Contain individual true," 7,29,494 ",38522,15-01-2021,04-03-2022,59,42,Friday," 8,27,03,204 ",13,7,Yes,6843,8.500
28120,Artist program," 6,85,463 ",27971,15-01-2040,05-04-2024,98,50.26863626,Tuesday," 14,10,06,476 ",22,4,Partial,6971,5.040
28545,Against various," 6,36,639 ",45181,28-01-1955,23-12-2020,39,33.08,Sunday," 9,47,73,580 ",13,4,No,5193,4.190
28586,Already site every," 6,94,660 ",2863,10-06-1993,28-03-2019,4,195.2790621,Friday," 43,09,491 ",8,7,No,12199,7.086
28695,Difference occur result," 6,59,486 ",17869,29-11-2021,17-04-2023,72,47,Saturday," 58,59,415 ",6,8,Partial,7891,9.310
28861,American radio," 8,00,625 ",44221,16-01-2009,05-06-2017,75,45.46468523,Sunday," 11,15,97,182 ",21,7,No,6239,2.800
29158,Factor little project," 7,18,093 ",36152,13-07-2016,31-01-2018,81,49,Tuesday," 11,57,76,425 ",24,5,No,10282,8.770
29192,Catch themselves expect," 9,06,858 ",48606,09-05-2023,Still Airing,94,52,Monday," 2,64,53,849 ",4,4,Yes,8833,9.030
29215,Election both direction," 7,14,923 ",24081,05-12-2016,25-06-2018,81,30,Sunday," 9,52,15,789 ",8,7,Yes,9658,9.750
29388,Cup choose," 7,85,465 ",50,13-01-2025,Still Airing,6,53,Sunday," 47,81,495 ",19,8,Yes,5608,9.420
